TRGID,3PMP Fee,Check In Fee,Marketing Fee,Merchant Fee,Overbox Fee,Packaging Fee,PPS Fee,Refund Fee,Refurb Fee,Revshare Fee,Shipping Fee
128322017,$53,$18,$0,$0,,,$7,,$45,$21,$0
133560052,$3,,$0,$0,$0,,$4,,$1,$1,$0
140481267,$54,$18,$0,,,,,,$45,$21,
141899156,$9,,$0,$0,$6,,$6,,$7,$5,$0
144423194,$0,,$0,$0,$0,,$4,,$1,$0,$0
144955029,$11,,$0,$0,$0,,$4,,$32,$3,$0
145014147,$85,$18,$0,$0,,,$7,,$45,$34,$223
146371366,$64,$18,$0,$0,,,$7,,$45,$26,$195
146730924,$2,,$0,$0,$0,,$4,,$1,$1,$0
146947868,$1,,$0,$0,$0,,$4,,$0,$0,$0
146948279,$0,,$0,$0,$0,,$4,,$1,$0,$0
146948409,$0,,$0,$0,$0,,$4,,$0,$0,$0
146962537,$1,,$0,$0,$0,,$4,,$1,$0,$0
147177712,$1,,$0,$0,$0,,$4,,$0,$0,$0
148030645,$1,,$0,$0,$0,,$4,$2,$0,$0,$0
148030648,$0,,$0,$0,$0,,$4,,$0,$0,$0
148030663,$0,,$0,$0,$0,,$4,,$0,$0,$0
148193391,$0,,$0,$0,$0,,$4,,$0,$0,$0
148194231,$0,,$0,$0,$0,,$4,,$0,$0,$0
148194607,$1,,$0,$0,$0,,$4,,$1,$0,$0
148196352,$0,,$0,$0,$0,,$4,,$0,$0,$0
148196355,$0,,$0,$0,$0,,$4,,$0,$0,$0
149170349,$0,,$0,$0,$0,,$4,,$1,$0,$0
149170775,$0,,$0,$0,$0,,$4,,$1,$0,$0
149263561,$0,,$0,$0,$0,,$4,,$1,$0,$0
149263564,$1,,$0,$0,$0,,$4,,$1,$0,$0
149263791,$0,,$0,$0,$0,,$4,,$0,$0,$0
149266698,$0,,$0,$0,$0,,$4,,$0,$0,$0
149458542,$1,,$0,$0,$0,,$4,,$1,$0,$0
150138840,$1,,$0,$0,$0,,$4,,$1,$0,$0
150138841,$0,,$0,$0,$0,,$4,,$1,$0,$0
150138843,$1,,$0,$0,$0,,$4,,$1,$0,$0
150138844,$0,,$0,$0,$0,,$4,,$1,$0,$0
151015532,$1,,$0,$0,$0,,$4,,$1,$0,$0
152622898,$4,,$0,$0,$0,,$4,,$16,$1,$0
152756118,$1,,$0,$0,$0,,$4,,$4,$0,$0
153017341,$19,,$0,$0,$0,,$4,,$16,$9,$0
153332779,$1,,$0,$0,$0,,$4,$4,$0,$0,$0
153582214,$0,,$0,,,,,,$36,$21,
153675601,$0,,$0,$0,$0,,$4,,$1,$0,$0
153842289,$5,,$0,$0,$0,,$4,,$16,$1,$0
154640312,$4,,$0,$0,$0,,$4,,$16,$1,$0
154843676,$4,,$0,$0,$0,,$4,,$16,$1,$0
155147490,$4,,$0,$0,$0,,$4,,$16,$1,$0
155148745,$4,,$0,$0,$0,,$4,,$16,$1,$0
155228083,$0,,$0,$0,$0,,$4,,$0,$0,$0
155228396,$0,,$0,$0,$0,,$4,,$0,$0,$0
155541471,$1,,$0,$0,$0,,$4,$2,$0,$0,$0
155675043,$1,,$0,$0,$0,,$4,,$0,$0,$0
155681667,$0,,$0,$0,$0,,$4,,$1,$0,$0
156080601,$5,,$0,$0,$0,,$4,,$16,$1,$0
156274054,$50,,$0,$0,$0,,$4,,$2,$16,$221
156481846,$0,,$0,$0,$0,,$4,,$1,$0,$0
156481945,$0,,$0,$0,$0,,$4,,$1,$0,$0
156481949,$0,,$0,$0,$0,,$4,,$1,$0,$0
156947019,$6,,$0,$0,$0,,$4,,$8,$3,$0
157554350,$29,$18,$0,$0,,,$7,,$45,$12,$0
157572561,$6,$3,$0,$0,$0,,$4,,$0,$2,$0
157762338,$5,,$0,,,,$4,,$0,$2,
157762339,$5,,$0,,,,$4,,$0,$2,
158071324,$0,,$0,$0,$0,,$4,,$1,$0,$0
158142373,$35,,$0,,,,,,$36,$14,
158194521,$12,,$0,$0,$0,,$4,,$18,$5,$0
160725447,$8,$3,$0,$0,$0,,$4,,$0,$2,$0
161771255,$203,$18,$0,$0,,,$7,,$45,$82,$197
161930334,$7,,$0,$0,$0,,$4,,$16,$3,$0
162308377,$12,$3,$0,$0,$0,,$4,,,$3,$0
162313044,$12,,$0,$0,$0,,$4,,$1,$4,$0
162529228,$0,,$0,,,,$4,,$27,$8,
162651457,$12,,$0,,,,$4,,$0,$4,
164991970,$46,,$0,,,,,,$36,$19,
165118028,$1,,$0,$0,$0,,$4,,$0,$0,$0
165121858,$1,,$0,$0,$0,,$4,,$0,$0,$0
165379521,$6,,$0,$0,$0,,$4,,$16,$2,
165944511,$0,,$0,,,,$4,,$27,$16,
165944514,$33,,$0,$0,$0,,$4,,$27,$14,$0
165947043,$20,,$0,$0,$0,,$4,,$27,$8,$0
166568002,$7,$3,$0,$0,$0,,$4,,$0,$3,$0
166568003,$7,$3,$0,$0,$0,,$4,,$0,$3,$0
166646734,$15,,$0,$0,$0,,$4,,$27,$6,$0
166646825,$3,,$0,$0,$0,,$4,,$16,$1,$0
166650382,$0,,$0,$0,$0,,$4,,$1,$0,$0
166779007,$4,,$0,$0,$0,,$4,,$1,$2,$0
166779112,$4,,$0,$0,$0,,$4,,$1,$2,$0
166779142,$4,,$0,,,,,,,$2,
166780615,$4,,$0,$0,$0,,$4,,$1,$2,$0
166780680,$4,,$0,$0,$0,,$4,,$1,$2,$0
166781460,$4,,$0,$0,$0,,$4,,$1,$2,$0
166784639,$3,,$0,,,,,,,$1,
166784642,$5,,$0,$0,$0,,$4,,$16,$2,$0
166784653,$3,,$0,,,,,,,$1,
166786907,$4,,$0,$0,$0,,$4,,$1,$2,$0
166787404,$3,,$0,,,,,,,$1,
166789385,$4,,$0,$0,$0,,$4,,$16,$2,$0
166789394,$4,,$0,,,,,,,$2,
166789400,$4,,$0,,,,,,,$2,
166791475,$4,,$0,,,,,,,$2,
166791631,$3,,$0,,,,,,,$1,
166792166,$4,,$0,$0,$0,,$4,,$1,$2,$0
166792173,$4,,$0,$0,$0,,$4,,$1,$2,$0
166792368,$3,,$0,,,,,,,$1,
166792369,$5,,$0,,,,,,,$2,
166792777,$3,,$0,,,,,,,$1,
166792778,$0,,$0,,,,,,,$3,
166794601,$4,,$0,$0,$0,,$4,,$1,$2,$0
166850688,$3,,$0,$0,$0,,$4,,$16,$1,$0
167620939,$33,,$0,,,,,,$25,$14,
167637689,$4,,$0,,,,,,,$2,
167639540,$8,,$0,,,,,,,$3,
167639542,$4,,$0,,,,,,,$2,
167639543,$8,,$0,,,,,,,$3,
167640065,$0,,$0,,,,,,,$3,
167640460,$4,,$0,,,,,,,$2,
167641564,$4,,$0,,,,,,,$2,
167641569,$4,,$0,,,,,,,$2,
167641576,$4,,$0,,,,,,,$2,
167641739,$4,,$0,,,,,,,$2,
167641755,$8,,$0,,,,,,,$3,
167641886,$4,,$0,,,,,,,$2,
167641907,$4,,$0,,,,,,,$2,
167642023,$4,,$0,$0,$0,,$4,,$1,$2,$0
167642046,$4,,$0,,,,,,,$2,
167642081,$4,,$0,,,,,,,$2,
167642196,$4,,$0,,,,,,,$2,
167642202,$4,,$0,$0,$0,,$4,,$1,$2,$0
167642204,$4,,$0,,,,,,,$2,
167642224,$4,,$0,,,,,,,$2,
167642306,$4,,$0,,,,,,,$2,
167642322,$4,,$0,,,,,,,$2,
167642547,$4,,$0,,,,,,,$2,
167642726,$4,,$0,,,,,,,$2,
167642727,$4,,$0,,,,,,,$2,
167642728,$4,,$0,,,,,,,$2,
167642739,$4,,$0,,,,,,,$2,
167644496,$4,,$0,,,,,,,$2,
167644643,$4,,$0,,,,,,,$2,
167645334,$4,,$0,,,,,,,$2,
167645870,$4,,$0,,,,,,,$2,
167645882,$4,,$0,,,,,,,$2,
167645886,$4,,$0,,,,,,,$2,
167646177,$4,,$0,,,,,,,$2,
167646194,$4,,$0,,,,,,,$2,
167646452,$9,,$0,,,,,,,$4,
167646832,$4,,$0,,,,,,,$2,
167646921,$4,,$0,,,,,,,$2,
167646943,$4,,$0,,,,,,,$2,
167646945,$4,,$0,,,,,,,$2,
167646946,$4,,$0,,,,,,,$2,
167646964,$4,,$0,,,,,,,$2,
167646969,$4,,$0,,,,,,,$2,
167646971,$4,,$0,,,,,,,$2,
167646974,$4,,$0,,,,,,,$2,
167646976,$4,,$0,,,,,,,$2,
167646977,$4,,$0,,,,,,,$2,
167647107,$4,,$0,,,,,,,$2,
167647515,$4,,$0,$0,$0,,$4,,$1,$2,$0
167647552,$4,,$0,,,,,,,$2,
167647911,$3,,$0,$0,$0,,$4,,$1,$2,$0
167647917,$4,,$0,,,,,,,$2,
167648125,$3,,$0,$0,$0,,$4,,$1,$2,$0
167648131,$3,,$0,$0,$0,,$4,,$1,$2,$0
167648202,$3,,$0,$0,$0,,$4,,$1,$2,$0
167648291,$4,,$0,,,,,,,$2,
167648314,$4,,$0,,,,,,,$2,
167648315,$3,,$0,$0,$0,,$4,,$1,$2,$0
167648541,$3,,$0,$0,$0,,$4,,$1,$2,$0
167648554,$4,,$0,,,,,,,$2,
167648557,$4,,$0,,,,,,,$2,
167648724,$4,,$0,,,,,,,$2,
167648736,$4,,$0,,,,,,,$2,
167648788,$4,,$0,,,,,,,$2,
167648789,$4,,$0,,,,,,,$2,
167648800,$4,,$0,,,,,,,$2,
167648802,$4,,$0,,,,,,,$2,
167648902,$4,,$0,,,,,,,$2,
167648960,$4,,$0,$0,$0,,$4,,$1,$2,$0
167648968,$4,,$0,,,,,,,$2,
167648970,$4,,$0,,,,,,,$2,
167648972,$4,,$0,,,,,,,$2,
167648974,$4,,$0,,,,,,,$2,
167648976,$4,,$0,,,,,,,$2,
167648981,$4,,$0,,,,,,,$2,
167649096,$4,,$0,,,,,,,$2,
167649101,$4,,$0,$0,$0,,$4,,$1,$2,$0
167649113,$4,,$0,,,,,,,$2,
167649141,$5,,$0,,,,,,,$2,
167649142,$4,,$0,,,,,,,$2,
167649145,$4,,$0,$0,$0,,$4,,$1,$2,$0
167649152,$4,,$0,,,,,,,$2,
167649266,$4,,$0,,,,,,,$2,
167649268,$4,,$0,,,,,,,$2,
167649271,$4,,$0,,,,,,,$2,
167649416,$4,,$0,,,,,,,$2,
167649419,$8,,$0,,,,,,,$3,
167649427,$4,,$0,,,,,,,$2,
167649428,$4,,$0,,,,,,,$2,
167649430,$4,,$0,,,,,,,$2,
167649594,$4,,$0,,,,,,,$2,
167649615,$4,,$0,,,,,,,$2,
167649693,$4,,$0,,,,,,,$2,
167649815,$4,,$0,,,,,,,$2,
167650042,$4,,$0,,,,,,,$2,
167650533,$4,,$0,,,,,,,$2,
167650537,$4,,$0,,,,,,,$2,
167650550,$4,,$0,,,,,,,$2,
167650704,$4,,$0,,,,,,,$2,
167650708,$4,,$0,,,,,,,$2,
167650711,$4,,$0,,,,,,,$2,
167650713,$4,,$0,,,,,,,$2,
167650718,$4,,$0,,,,,,,$2,
167650719,$4,,$0,,,,,,,$2,
167650819,$6,,$0,,,,$4,,$16,$2,
168009758,$72,,$0,,,,$6,,$58,$30,
168189585,$20,,$0,$0,$6,,$6,,$36,$8,
168754805,$101,$18,$0,$0,,,$7,,$45,$40,$0
168764713,$1,,$0,$0,$0,,$4,$13,$10,$1,
169275983,$7,,$0,$0,$0,,$4,,$16,$3,$0
169697965,$2,,$0,,,,$4,,$16,$1,
169698623,$2,,$0,,,,$4,,$16,$1,
169962938,$16,$3,$0,$0,$0,,$4,,$0,$4,$0
169989874,$7,,$0,$0,$0,,$4,,$16,$5,$0
170200066,$5,,$0,$0,$0,,$4,,$16,$2,$0
170201740,$17,,$0,$0,$0,,$4,,$16,$7,$0
170203671,$2,,$0,$0,$0,,$4,,$16,$1,$0
170362164,$7,,$0,$0,$0,,$4,,$16,$3,$0
170455302,$4,,$0,,,,,,,$2,
170455308,$4,,$0,,,,,,,$2,
170455436,$4,,$0,,,,,,,$2,
170458204,$4,,$0,,,,,,,$2,
170458340,$4,,$0,,,,,,,$2,
171489499,$2,,$0,$0,$0,,$4,,$1,$1,$0
172016902,$22,$3,$0,$0,$0,,$4,,$0,$8,$0
172506455,$16,,$0,,,,,,$25,$6,
172532573,$8,$3,$0,$0,$0,,$4,,,$3,$0
173535280,$5,$3,$0,$0,$0,,$4,,,$1,$0
173902922,$14,,$0,,,,,,$25,$5,
173925954,$67,$18,$0,$0,,,$7,,$45,$28,$126
174093433,$12,,$0,,,,,,$25,$5,
174684059,$6,$3,$0,$0,$0,,$4,,,$4,$0
175063668,$9,,$0,$0,$0,,$4,,$28,$3,$0
175318760,$5,$3,$0,$0,$0,,$4,,$0,$1,$0
175352279,$2,$3,$0,$0,$0,,$4,,$0,$1,$0
175430917,$79,$18,$0,$0,,,$7,,$45,$33,$189
