Category,Key,Program(s),Price
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaBENAR-WMNEW,BENAR-WM,4%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFRAKY-WMNEW,FRAKY-WM,4%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaBENAR-WMAS-IS,BENAR-WM,2%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFRAKY-WMAS-IS,FRAKY-WM,2%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFORTX-WMAS-IS,FORTX-WM,2%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaGREIN-WMAS-IS,GREIN-WM,2%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaBENAR-WMREFURBISHED,BENAR-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFRAKY-WMREFURBISHED,FRAKY-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFORTX-WMREFURBISHED,FORTX-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaGREIN-WMREFURBISHED,GREIN-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaBENAR-WMUSED,BENAR-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFRAKY-WMUSED,FRAKY-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFORTX-WMUSED,FORTX-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaGREIN-WMUSED,GREIN-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaBENAR-WMBER,BENAR-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFRAKY-WMBER,FRAKY-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFORTX-WMBER,FORTX-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaGREIN-WMBER,GREIN-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaFORTX-WMNEW,FORTX-WM,1%
Baby -> Baby Food & Formula,Baby -> Baby Food & FormulaGREIN-WMNEW,GREIN-WM,1%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesBENAR-WMNEW",BENAR-WM,4%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesFRAKY-WMNEW",FRAKY-WM,4%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesBENAR-WMAS-IS",BENAR-WM,2%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesFRAKY-WMAS-IS",FRAKY-WM,2%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesFORTX-WMAS-IS",FORTX-WM,2%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesGREIN-WMAS-IS",GREIN-WM,2%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesBENAR-WMREFURBISHED",BENAR-WM,1%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesFRAKY-WMREFURBISHED",FRAKY-WM,1%
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories","Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & AccessoriesFORTX-WMREFURBISHED",FORTX-WM,1%
